Customer_ID,Join_Date,Tenure_Months,Churn_Flag,Churn_Date,Customer_Segment,Region,Contract_Type,Payment_Method,Monthly_Charges,Usage_Score,Support_Tickets,Satisfaction_Score
CUST00190,2022-02-07,29,No,,Retail,South,Monthly,UPI,365.93,27,1,5
CUST00191,2021-05-27,45,No,,Retail,East,Monthly,UPI,636.54,20,1,2
CUST00192,2024-03-17,27,No,,SME,West,Monthly,Debit Card,854.55,61,4,2
CUST00193,2023-05-14,26,No,,Retail,West,Monthly,Credit Card,585.52,52,0,3
CUST00194,2022-05-04,3,Yes,2024-05-06,Retail,East,Quarterly,Debit Card,1017.13,94,2,4
CUST00195,2023-07-18,26,No,,SME,East,Quarterly,UPI,784.97,36,2,4
CUST00196,2022-07-05,39,Yes,2022-11-04,Corporate,East,Monthly,UPI,616.19,32,2,3
CUST00197,2021-12-04,1,No,,Retail,West,Monthly,UPI,1032.18,47,3,3
CUST00198,2023-05-22,35,No,,Retail,East,Quarterly,Debit Card,279.77,22,4,3
CUST00199,2022-10-03,27,No,,SME,North,Monthly,Credit Card,798.44,9,5,1
CUST00200,2022-04-18,46,Yes,2022-12-04,Corporate,North,Quarterly,Credit Card,876.51,75,0,5
CUST00201,2021-05-31,4,Yes,2021-10-27,Corporate,North,Monthly,Debit Card,541.78,98,1,2
CUST00202,2021-09-20,19,No,,SME,East,Quarterly,Debit Card,930.54,47,2,5
CUST00203,2021-05-24,22,No,,Retail,East,Annual,UPI,495.61,15,2,3
CUST00204,2021-12-12,6,Yes,2022-09-11,Corporate,North,Monthly,Credit Card,618.54,18,0,4
CUST00205,2022-09-16,9,No,,Corporate,North,Monthly,Credit Card,717.91,91,0,4
CUST00206,2023-10-14,11,No,,Retail,East,Monthly,Debit Card,570.23,85,1,2
CUST00207,2023-05-31,22,Yes,2025-04-09,SME,East,Monthly,Credit Card,538.05,37,2,3
CUST00208,2021-01-02,47,Yes,2023-03-10,Retail,West,Monthly,UPI,525.44,16,0,2
CUST00209,2023-06-16,9,No,,Retail,North,Monthly,Debit Card,581.3,84,3,4
CUST00210,2021-09-11,29,Yes,2022-02-04,Retail,West,Monthly,Debit Card,860.72,75,2,4
CUST00211,2022-03-29,43,No,,Retail,West,Quarterly,UPI,986.69,16,4,1
CUST00212,2023-11-27,10,No,,Retail,North,Monthly,UPI,250.0,81,0,1
CUST00213,2024-03-29,34,No,,Retail,East,Quarterly,Credit Card,793.95,91,3,4
CUST00214,2023-10-12,31,No,,SME,West,Monthly,UPI,497.62,14,1,5
CUST00215,2021-01-09,22,No,,Retail,South,Annual,Credit Card,869.73,49,3,4
CUST00216,2024-01-28,46,No,,SME,East,Quarterly,UPI,823.01,40,1,1
CUST00217,2023-03-27,4,No,,Retail,West,Quarterly,Credit Card,479.78,68,1,5
CUST00218,2021-07-27,2,No,,Retail,South,Monthly,Debit Card,543.01,11,1,2
CUST00219,2024-02-29,5,Yes,2025-08-25,Retail,East,Monthly,UPI,587.74,52,3,5
CUST00220,2022-02-08,46,No,,SME,South,Monthly,UPI,811.94,66,1,2
CUST00221,2021-06-01,15,No,,Corporate,North,Monthly,Debit Card,657.42,44,1,5
CUST00222,2021-02-23,19,No,,SME,West,Monthly,UPI,486.02,95,4,4
CUST00223,2024-02-18,38,Yes,2024-12-22,Retail,South,Quarterly,UPI,551.62,88,1,5
CUST00224,2022-09-20,15,No,,SME,North,Quarterly,Debit Card,806.27,60,2,4
CUST00225,2022-08-10,46,No,,SME,West,Annual,Debit Card,840.24,97,2,3
CUST00226,2021-04-14,8,No,,Retail,North,Monthly,Debit Card,345.07,20,0,4
CUST00227,2021-09-11,20,Yes,2024-02-07,SME,West,Quarterly,UPI,696.65,59,1,5
CUST00228,2024-02-10,12,No,,Retail,South,Monthly,UPI,394.32,39,2,1
CUST00229,2022-05-25,4,Yes,2024-05-28,Corporate,North,Annual,Credit Card,740.33,36,1,4
CUST00230,2021-04-09,38,Yes,2022-06-07,Retail,East,Monthly,Credit Card,642.41,94,1,5
CUST00231,2021-06-02,43,No,,Corporate,West,Monthly,Credit Card,741.08,94,1,2
CUST00232,2023-07-03,39,No,,Retail,West,Monthly,UPI,421.19,53,1,2
CUST00233,2023-05-28,36,No,,Corporate,North,Quarterly,Debit Card,986.49,71,2,5
CUST00234,2021-12-04,15,Yes,2022-12-25,SME,South,Annual,UPI,816.27,46,2,4
CUST00235,2023-04-02,1,No,,Retail,North,Quarterly,Debit Card,656.21,70,0,5
CUST00236,2024-04-01,31,No,,Retail,West,Quarterly,UPI,927.51,43,3,5
CUST00237,2023-08-15,9,No,,Corporate,West,Quarterly,Credit Card,1021.65,64,0,3
CUST00238,2021-06-10,23,No,,Corporate,East,Monthly,Credit Card,560.41,42,3,5
CUST00239,2023-03-12,26,No,,Corporate,West,Monthly,Debit Card,605.59,37,0,2
CUST00240,2022-02-02,40,No,,Corporate,South,Quarterly,UPI,809.96,93,0,3
CUST00241,2023-03-27,44,No,,Retail,West,Monthly,Credit Card,287.13,13,3,3
CUST00242,2024-03-04,39,No,,Retail,North,Monthly,UPI,540.35,79,1,2
CUST00243,2022-02-05,18,No,,Corporate,East,Annual,Credit Card,504.39,67,1,1
CUST00244,2022-10-02,33,Yes,2023-10-19,Retail,North,Monthly,Debit Card,699.85,90,3,2
CUST00245,2023-11-23,41,No,,SME,West,Monthly,UPI,422.4,77,1,4
CUST00246,2022-11-19,39,No,,SME,West,Monthly,Debit Card,461.97,63,3,1
CUST00247,2022-04-05,14,No,,SME,North,Quarterly,Credit Card,999.42,22,2,1
CUST00248,2023-08-13,1,No,,Retail,West,Monthly,Credit Card,1018.71,87,0,2
CUST00249,2022-04-15,13,No,,Corporate,South,Monthly,Credit Card,959.51,7,0,5
CUST00250,2023-11-12,15,No,,Retail,South,Quarterly,Credit Card,300.32,96,2,3
CUST00251,2023-01-20,37,No,,Corporate,North,Monthly,Debit Card,612.48,49,3,3
CUST00252,2021-02-07,5,Yes,2022-10-04,SME,North,Monthly,Debit Card,612.63,8,3,3
CUST00253,2021-08-18,14,No,,Retail,North,Monthly,Credit Card,1008.87,80,2,2
CUST00254,2022-07-17,14,No,,SME,East,Monthly,Debit Card,761.16,33,2,4
CUST00255,2022-03-14,46,Yes,2022-05-18,SME,South,Monthly,Debit Card,348.43,60,2,2
CUST00256,2021-01-27,5,No,,Retail,North,Monthly,Credit Card,762.42,60,2,2
CUST00257,2021-08-14,11,No,,Retail,South,Monthly,Credit Card,480.94,9,2,2
CUST00258,2023-03-09,32,Yes,2024-07-22,Retail,North,Quarterly,Debit Card,626.26,80,1,3
CUST00259,2021-10-11,5,No,,SME,West,Annual,Debit Card,549.49,44,1,3
CUST00260,2023-05-29,36,Yes,2025-10-31,Retail,West,Quarterly,Debit Card,703.54,56,0,3
CUST00261,2023-08-18,15,No,,SME,East,Monthly,Credit Card,764.78,52,1,5
CUST00262,2022-03-29,7,No,,SME,West,Monthly,Credit Card,709.94,50,3,3
CUST00263,2023-10-17,5,No,,Retail,West,Annual,Credit Card,533.7,18,1,2
CUST00264,2023-03-27,30,No,,Retail,East,Annual,Credit Card,661.12,66,2,2
CUST00265,2022-10-21,15,No,,Retail,North,Quarterly,Credit Card,432.84,91,2,4
CUST00266,2022-07-01,30,No,,SME,West,Quarterly,Credit Card,601.98,24,3,2
CUST00267,2023-12-09,14,No,,Retail,East,Monthly,UPI,521.8,39,3,3
CUST00268,2021-01-17,24,No,,Retail,North,Annual,Credit Card,250.0,73,1,5
CUST00269,2024-04-10,24,No,,Retail,North,Quarterly,Credit Card,686.48,58,2,5
CUST00270,2021-06-07,35,No,,Retail,West,Monthly,Debit Card,490.8,91,4,3
CUST00271,2022-04-22,5,Yes,2023-02-24,Retail,West,Monthly,Credit Card,411.72,24,2,5
CUST00272,2023-12-06,12,No,,SME,South,Quarterly,Credit Card,904.43,59,2,2
CUST00273,2022-06-02,20,No,,SME,South,Monthly,Debit Card,462.76,69,3,3
CUST00274,2021-04-09,46,No,,Retail,West,Quarterly,Debit Card,918.97,62,1,3
CUST00275,2023-11-27,5,Yes,2025-03-08,SME,South,Monthly,Credit Card,507.92,54,1,5
CUST00276,2021-10-07,36,Yes,2023-06-03,Retail,North,Annual,UPI,317.48,43,1,4
CUST00277,2022-05-12,21,No,,Retail,South,Monthly,Credit Card,631.46,43,3,4
CUST00278,2021-10-29,39,No,,Retail,North,Monthly,Debit Card,714.01,15,0,2
CUST00279,2021-06-30,3,Yes,2023-07-25,Retail,South,Quarterly,Credit Card,780.81,44,3,3
CUST00280,2022-08-30,29,No,,SME,North,Quarterly,Credit Card,507.11,47,4,2
CUST00281,2024-01-28,25,No,,Corporate,North,Quarterly,Credit Card,487.99,36,1,3
CUST00282,2022-12-01,27,No,,Retail,North,Quarterly,Credit Card,746.85,56,0,2
CUST00283,2023-09-20,36,No,,SME,East,Monthly,Credit Card,719.74,14,2,1
CUST00284,2024-02-14,22,No,,Retail,East,Monthly,Credit Card,897.37,93,3,3
CUST00285,2021-07-10,38,No,,Retail,North,Quarterly,UPI,449.32,29,1,3
CUST00286,2021-09-10,35,Yes,2021-11-11,Corporate,West,Monthly,Debit Card,385.57,55,0,4
CUST00287,2023-09-08,1,No,,Retail,West,Monthly,UPI,531.31,86,4,1
CUST00288,2023-07-17,3,Yes,2025-07-02,Retail,West,Quarterly,Debit Card,856.47,38,2,4
CUST00289,2024-03-30,24,Yes,2025-10-11,Retail,West,Quarterly,Credit Card,458.37,24,3,5
CUST00290,2021-05-08,8,Yes,2023-08-06,Retail,North,Annual,Credit Card,478.29,50,2,5
CUST00291,2021-01-18,39,No,,SME,South,Monthly,Debit Card,586.44,20,2,1
CUST00292,2022-07-20,18,No,,Retail,South,Quarterly,Credit Card,740.44,77,1,4
CUST00293,2022-07-24,41,Yes,2022-12-10,SME,West,Annual,UPI,842.17,69,3,3
CUST00294,2022-11-17,3,No,,SME,East,Monthly,Credit Card,528.07,41,2,3
CUST00295,2022-09-18,18,No,,Retail,West,Quarterly,UPI,972.56,34,1,2
CUST00296,2023-05-04,16,No,,SME,West,Quarterly,UPI,464.13,86,0,1
CUST00297,2023-08-20,32,Yes,2025-01-04,SME,North,Quarterly,Debit Card,696.92,35,0,2
